epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,423.895,0.33409,0.96078,1,0.11941,0.00999821,0.00333274,0.00999821,0.00333274,0.00999821,0.00333274,0.00999821,0.00333274
2,765.774,0.25568,0.97914,1,0.05739,0.0196023,0.00653408,0.0196023,0.00653408,0.0196023,0.00653408,0.0196023,0.00653408
3,1097.22,0.2395,0.98206,1,0.04803,0.0288103,0.00960343,0.0288103,0.00960343,0.0288103,0.00960343,0.0288103,0.00960343
4,1417.86,0.23001,0.98039,1,0.05427,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1737.91,0.17583,0.98874,1,0.03599,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2058.56,0.1419,0.99166,1,0.03156,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2380.83,0.11964,0.99207,1,0.02358,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2702.03,0.11107,0.99458,1,0.01811,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3023.62,0.10038,0.99374,1,0.02563,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3360.68,0.09158,0.99374,1,0.01889,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3703.58,0.08464,0.99499,1,0.01589,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4043.54,0.07816,0.99416,1,0.01669,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4381.95,0.07599,0.9975,1,0.01059,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4722.81,0.07033,0.99666,0.99958,0.0114,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5067.73,0.06861,0.99499,0.99958,0.0114,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5416.97,0.06611,0.99583,0.99958,0.01198,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5767.42,0.06391,0.99666,0.99917,0.01198,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6109.79,0.05911,0.99625,0.99917,0.01287,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6460.78,0.05626,0.99666,0.99917,0.01253,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6803.5,0.05306,0.99625,0.99917,0.0123,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,7137.98,0.05251,0.99625,0.99917,0.01233,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,7509.77,0.04946,0.99583,0.99917,0.01195,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7872,0.04437,0.99583,0.99917,0.01166,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,8231.14,0.04314,0.99625,0.99917,0.01127,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8592.2,0.04388,0.99666,0.99917,0.01116,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,8934.56,0.04099,0.99666,0.99958,0.01084,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,9276.24,0.03816,0.99666,0.99958,0.01065,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,9620.22,0.03644,0.99708,0.99958,0.01055,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
