epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,646.538,0.63472,0.95494,1,0.12462,0.00999643,0.00333214,0.00999643,0.00333214,0.00999643,0.00333214,0.00999643,0.00333214
2,1216.88,0.23525,0.96412,1,0.1026,0.0196005,0.0065335,0.0196005,0.0065335,0.0196005,0.0065335,0.0196005,0.0065335
3,1743.64,0.26099,0.9708,1,0.08095,0.0288086,0.00960286,0.0288086,0.00960286,0.0288086,0.00960286,0.0288086,0.00960286
4,2260.49,0.21458,0.9879,1,0.04187,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2773.07,0.14179,0.98915,1,0.02515,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3286.65,0.11899,0.98915,1,0.0337,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3804.92,0.10196,0.99291,1,0.01655,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4334.62,0.08623,0.99541,1,0.01492,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5224.72,0.07547,0.99625,1,0.0088,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5990.41,0.0714,0.99666,1,0.01131,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6523.43,0.05912,0.9975,1,0.00864,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7145.68,0.06143,0.99583,1,0.0113,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7694.7,0.05966,0.99666,1,0.00697,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8243.92,0.05072,0.99625,1,0.00816,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9076.34,0.04995,0.9975,1,0.009,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10237.8,0.04855,0.9975,1,0.00682,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,11397.2,0.04428,0.9975,1,0.0061,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,12601.2,0.04373,0.99833,1,0.00447,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,13814.7,0.04072,0.9975,1,0.00564,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,14434.5,0.03975,0.99791,1,0.00524,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,14940,0.03766,0.9975,1,0.00521,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,15448,0.03321,0.9975,1,0.00513,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,15961.4,0.03231,0.9975,1,0.00513,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,16472.5,0.03253,0.99708,1,0.00499,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,16982.6,0.02957,0.99708,1,0.00488,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,17496.8,0.02744,0.99708,1,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,18009,0.02937,0.99708,1,0.00512,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,18520.4,0.02103,0.99708,1,0.00507,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,19031.3,0.02277,0.99708,1,0.00509,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,19543.7,0.02319,0.99708,1,0.00517,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,20055.6,0.01965,0.9975,1,0.00499,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,20569.2,0.01961,0.99833,1,0.00485,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,21082.6,0.01902,0.99833,1,0.00496,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
